name,cost,power,ability,tags
Nightcrawler,1,2,You can move this once.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Nimrod,5,6,"When this is destroyed, add a copy to each other location.",[]
Nova,1,1,"When this is destroyed, give your cards +1 Power.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Odin,6,8,<span>On Reveal</span>: Activate the On Reveal abilities of your other cards at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Okoye,2,2,<span>On Reveal</span>: Give every card in your deck +1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Omega Red,4,5,"<span>Ongoing</span>: If you're ahead by 10 Power here, +4 Power to other locations.","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Onslaught,6,7,<span>Ongoing</span>: Double your other Ongoing effects at this location.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Orka,6,11,<span>Ongoing</span>: +5 Power if this is your only card here.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Patriot,3,1,<span>Ongoing</span>: Your cards with no abilities have +2 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}, {'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Pig,0,0,,[]
Polaris,3,5,<span>On Reveal</span>: Move an opposing 1 or 2-Cost card to this location.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Professor X,5,3,"<span>Ongoing</span>: Lock down this location. (Cards can't be added, removed, etc.)","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Psylocke,2,2,"<span>On Reveal</span>: Next turn, you get +1 Energy.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Punisher,3,2,<span>Ongoing</span>: +1 Power for each opposing card at this location.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Quake,2,3,"<span>On Reveal</span>: If this is at the middle location, swap the positions of each location.","[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Quicksilver,1,2,Starts in your opening hand.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}]"
Quinjet,1,2,<span>Ongoing</span>: Cards that didn't start in your deck cost 1 less. (minimum 1),"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Ravonna Renslayer,3,3,<span>Ongoing</span>: Your cards with 1 or less Power cost 1 less. (minimum 1),[]
Red Skull,5,14,<span>Ongoing</span>: Enemy cards at this location have +2 Power.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Rescue,4,4,"<span>On Reveal</span>: If you play a card here next turn, +5 Power.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Rhino,3,3,<span>On Reveal</span>: Ruin this location. (remove its ability),"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Rocket Raccoon,1,2,"<span>On Reveal</span>: If your opponent played a card here this turn, +2 Power.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Rockslide,3,3,<span>On Reveal</span>: Shuffle 2 Rocks into your opponent's deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Rogue,3,2,<span>On Reveal</span>: Steal an Ongoing ability from a random enemy card at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Ronan the Accuser,5,3,<span>Ongoing</span>: +2 Power for each card in your opponent's hand.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Sabretooth,3,4,"When this is destroyed, return it to your hand. It costs 0.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Sandman,5,3,<span>Ongoing</span>: Players can only play 1 card a turn.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Sauron,3,3,<span>On Reveal</span>: Remove the abilities from all Ongoing cards in your hand and deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Scarlet Witch,2,3,<span>On Reveal</span>: Replace this location with a random new one.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Scorpion,2,2,<span>On Reveal</span>: Afflict cards in your opponent's hand with -1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Sebastian Shaw,1,1,none,[]
Selene,1,2,none,[]
Sentinel,2,3,<span>On Reveal</span>: Add another Sentinel to your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Sentry,4,10,You can't play this at the right location. <span>On Reveal</span>: Add a -10 Power Void to the right location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Sera,5,4,<span>Ongoing</span>: Cards in your hand cost 1 less. (minimum 1),"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Shadow King,2,3,<span>On Reveal</span>: Set all cards here to their original base Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Shang-Chi,4,3,<span>On Reveal</span>: Destroy all enemy cards at this location that have 9 or more Power.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Shanna,3,2,<span>On Reveal</span>: Add a random 1-Cost card to each location.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
She-Hulk,6,9,Costs 1 less for each unspent Energy last turn.,[]
Shocker,2,3,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Shuri,4,2,"<span>On Reveal</span>: If you play your next card here, double its Power.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Silk,2,5,"After ANY card is played here, this moves to another location.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Silver Samurai,4,5,<span>On Reveal</span>: Each player discards the lowest-Power card from their hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Silver Surfer,3,2,<span>On Reveal</span>: Give your other 3-Cost cards +2 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Snowguard,1,2,<span>On Reveal</span>: Add the Hawk and Bear auroras to your hand.,[]
Snowguard Bear,3,4,<span>On Reveal</span>: Trigger the effect of this location.,[]
Snowguard Hawk,3,3,<span>On Reveal</span>: Ignore all location abilities until the end of next turn (or the game).,[]
Snowguard Wolf,4,8,<span>Ongoing</span>: -2 Power for each other card you have here.,[]
Spectrum,6,5,<span>On Reveal</span>: Give your Ongoing cards +2 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Nico Minoru Spell 01,1,2,"<span>On Reveal</span>: After you play your next card, it becomes a Demon.",[]
Nico Minoru Spell 02,1,2,"<span>On Reveal</span>: After you play your next card, destroy it and draw two cards.",[]
Nico Minoru Spell 03,1,2,"<span>On Reveal</span>: After you play your next card, move it one location to the right.",[]
Nico Minoru Spell 04,1,2,"<span>On Reveal</span>: After you play your next card, give it +2 Power.",[]
Nico Minoru Spell 05,1,2,"<span>On Reveal</span>: After you play your next card, replace that card's location.",[]
Nico Minoru Spell 06,1,2,"<span>On Reveal</span>: After you play your next card, add a copy of it to your hand.",[]
Nico Minoru Spell 07,1,2,"<span>On Reveal</span>: After you play your next card, double this card's Power.",[]
Spider-Ham,1,1,"<span>On Reveal</span>: Transform the leftmost card in your opponent's hand into a Pig, keeping its Power and Cost.",[]
Spider-Man,3,5,<span>On Reveal</span>: Move to another location and pull an enemy card from here to there.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Spider-Man 2099,4,6,"The first time this moves to a location, destroy an enemy card there.",[]
Spider-Woman,5,8,<span>On Reveal</span>: Afflict all enemy cards here with -1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Squirrel Girl,1,2,<span>On Reveal</span>: Add a 1-Power Squirrel to each other location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Star-Lord,2,2,"<span>On Reveal</span>: If your opponent played a card here this turn, +3 Power.","[{'tag_id': 5, 'tag': 'Guardians of the Galaxy', 'tag_slug': 'guardians-of-the-galaxy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Stature,5,6,Costs 1 if your opponent discarded a card from their hand this game.,[]
Stegron,4,5,<span>On Reveal</span>: Move an enemy card from here to another location.,[]
Storm,3,2,<span>On Reveal</span>: Flood this location. Next turn is the last turn cards can be played here.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Strong Guy,4,4,"<span>Ongoing</span>: If your hand is empty, +6 Power.","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Sunspot,1,0,"At the end of each turn, gain +1 Power for each unspent Energy.",[]
Super-Skrull,4,2,<span>Ongoing</span>: Has the Ongoing effects of all enemy cards.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Swarm,2,3,"When this is discarded from your hand, add two copies that Cost 0 to your hand.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Sword Master,3,6,<span>On Reveal</span>: Discard a card from your hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Taskmaster,5,0,<span>On Reveal</span>: Set this card's Power equal to that of the last card you played. (if that card's in play),"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Thanos,6,10,"At the start of the game, shuffle the six Infinity Stones into your deck.",[]
The Collector,2,0,,[]
The Phoenix Force,4,5,<span>On Reveal</span>: Revive one of your destroyed cards and merge with it. That card can move each turn.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
The Thing,4,6,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Thor,3,4,<span>On Reveal</span>: Shuffle Mjolnir into your deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Titania,1,5,"After ANY card is played here, this card switches sides.",[]
Typhoid Mary,4,10,<span>Ongoing</span>: Your other cards have -1 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Uatu the Watcher,1,2,"Once this is in your hand, you can see the unrevealed locations.",[]
Ultron,6,8,<span>On Reveal</span>: Create four 1-Power Drones at each other location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Valkyrie,5,3,<span>On Reveal</span>: Set ALL cards at this location to 3 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Venom,3,3,<span>On Reveal</span>: Destroy your other cards at this location. Add their Power to this card.,"[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Viper,2,3,<span>On Reveal</span>: Your opponent gains control of one of your other cards at this location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Vision,5,8,You can move this each turn.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Viv Vision,2,3,"When you move a card to a location, move this card there as well.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Vulture,3,3,"When this card moves, +5 Power.",[]
Warpath,4,5,"<span>Ongoing</span>: If any of your locations are empty, +4 Power.","[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Wasp,0,1,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Wave,3,3,<span>On Reveal</span>: All cards cost 4 until the end of next turn.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Werewolf By Night,3,3,"After you play an On Reveal card at another location, move there and gain +2 Power.",[]
White Queen,4,6,<span>On Reveal</span>: Copy the highest-Cost card in your opponent's hand into your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
White Tiger,5,1,<span>On Reveal</span>: Add a 7-Power Tiger to another location.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Widow's Bite,0,0,"While this is in your hand, you can't draw cards.",[]
Witchfire,2,3,"<span>On Reveal</span>: Your opponent draws a card, increase its cost by 1.","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Wolfsbane,3,1,<span>On Reveal</span>: +2 Power for each other card you have here.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Wolverine,2,2,"When this is discarded or destroyed, regenerate it at a random location with +2 Power.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Wong,4,2,<span>Ongoing</span>: Your On Reveal abilities at this location happen twice.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}, {'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
X-23,1,2,"When this is discarded or destroyed, regenerate it at a random location and you get +1 Energy next turn.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Yellowjacket,0,2,<span>On Reveal</span>: Afflict your other cards at this location with -1 Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Yo-Yo,1,2,"When this card moves, move it back with +1 Power.","[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}]"
Yondu,1,2,<span>On Reveal</span>: Destroy the top card of your opponent's deck.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Zabu,2,2,<span>Ongoing</span>: Your 4-Cost cards cost 1 less. (minimum 1),"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Zero,1,3,<span>On Reveal</span>: Remove the abilities on the next card you play.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
